seed,model,best_cv_acc,test_acc,test_roc_auc,best_params,test_precision,test_recall,test_f1
0,logreg_l2,0.6000000000000001,0.5714285714285714,0.4590909090909091,"{'clf__C': 0.01, 'clf__class_weight': None}",0.5555555555555556,0.5,0.5263157894736842
1,logreg_l2,0.5555555555555556,0.7142857142857143,0.8136363636363637,"{'clf__C': 0.01, 'clf__class_weight': None}",0.8333333333333334,0.5,0.625
2,logreg_l2,0.5444444444444445,0.5238095238095238,0.5454545454545454,"{'clf__C': 0.01, 'clf__class_weight': None}",0.5,0.7,0.5833333333333334
3,logreg_l2,0.5111111111111111,0.5714285714285714,0.7454545454545455,"{'clf__C': 0.01, 'clf__class_weight': None}",0.5714285714285714,0.4,0.47058823529411764
5,logreg_l2,0.5555555555555556,0.6666666666666666,0.6363636363636364,"{'clf__C': 0.01, 'clf__class_weight': None}",0.6153846153846154,0.8,0.6956521739130435
8,logreg_l2,0.6444444444444445,0.2857142857142857,0.29545454545454547,"{'clf__C': 10, 'clf__class_weight': None}",0.2727272727272727,0.3,0.2857142857142857
9,logreg_l2,0.611111111111111,0.42857142857142855,0.45,"{'clf__C': 0.01, 'clf__class_weight': None}",0.4,0.4,0.4
42,logreg_l2,0.5666666666666667,0.6190476190476191,0.6,"{'clf__C': 0.01, 'clf__class_weight': None}",0.6,0.6,0.6
69,logreg_l2,0.5722222222222222,0.6666666666666666,0.7454545454545455,"{'clf__C': 0.01, 'clf__class_weight': None}",0.6363636363636364,0.7,0.6666666666666666
100,logreg_l2,0.5611111111111111,0.5238095238095238,0.4909090909090909,"{'clf__C': 0.1, 'clf__class_weight': None}",0.5,0.5,0.5
