model,metric,mean,std
xgb,best_cv_acc,0.5994997662459094,0.0073585513008036
rfc,best_cv_acc,0.596919121084619,0.0098667958875911
logreg_elastic,best_cv_acc,0.5770032725572698,0.0185132383911962
svc,best_cv_acc,0.5756615240766714,0.0060788064769703
knn,best_cv_acc,0.5722440392706872,0.0146869259613626
logreg_l2,best_cv_acc,0.5670733987844787,0.0134563055350609
rfc,test_acc,0.5961538461538461,0.0804480794744303
svc,test_acc,0.5884615384615384,0.0646451396691215
logreg_elastic,test_acc,0.5884615384615384,0.0776408816853321
xgb,test_acc,0.576923076923077,0.0838249796834745
logreg_l2,test_acc,0.5576923076923077,0.0838249796834744
knn,test_acc,0.5538461538461539,0.034401045807689
rfc,test_f1,0.5755599309614661,0.1068842282392282
xgb,test_f1,0.5702942046383771,0.1118073324711668
svc,test_f1,0.5633503280156423,0.1510082530932346
logreg_elastic,test_f1,0.5502883689514071,0.1055270061801299
logreg_l2,test_f1,0.5300161725067385,0.1046686529683977
knn,test_f1,0.4196376811594202,0.1187368095903322
knn,test_precision,0.5916581968755882,0.1224563522229106
rfc,test_precision,0.5776094276094276,0.0766095009337967
logreg_elastic,test_precision,0.5766008471814923,0.0896677546675178
svc,test_precision,0.5582284382284383,0.0550001469532246
xgb,test_precision,0.5505036630036629,0.0786476241537956
logreg_l2,test_precision,0.5396072206660442,0.0837315944305463
xgb,test_recall,0.6,0.1649242250247064
svc,test_recall,0.6,0.2349468024894146
rfc,test_recall,0.584,0.1538830724933707
logreg_elastic,test_recall,0.5359999999999999,0.1485934049680536
logreg_l2,test_recall,0.528,0.1338656042454521
knn,test_recall,0.36,0.1549193338482966
rfc,test_roc_auc,0.621925925925926,0.0703871325065638
logreg_elastic,test_roc_auc,0.6014814814814815,0.0756154446740282
xgb,test_roc_auc,0.6011851851851853,0.0859268837749933
svc,test_roc_auc,0.592,0.0734480957610138
logreg_l2,test_roc_auc,0.5623703703703704,0.0774054580651235
knn,test_roc_auc,0.5571851851851852,0.0671656225347469
